user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username,user_id_clean,username_clean,full_name_clean,manager_username_clean,department_clean,role_clean,location_clean,hostname_clean,device_id_clean,hire_date_clean,termination_date_clean,status_clean,is_terminated,total_iam_events,failed_logins,mfa_failures,avg_iam_risk,max_iam_risk,tampered_iam_ips,total_alerts,critical_alerts,high_alerts,active_alerts,temporal_anomalies,high_threat_alerts,max_severity_score,total_fw_events,denied_fw_events,tampered_fw_ips,threat_flagged_fw,total_bytes_transferred,identity_risk_score,access_risk_score,endpoint_risk_score,network_risk_score,composite_threat_score,threat_tier,is_terminated_active_breach,is_brute_force_suspect,is_tampering_suspect,is_ml_anomaly,anomaly_score,behavior_cluster
EMP11224,chatresh.upadhyay99,Chatresh Upadhyay,Supply Chain,Executive,,VDR-11224.corp.local,DEV81260,Resigned,2020/09/01,19/11/2020 07:27,manager233,EMP11224,chatresh.upadhyay99,Chatresh Upadhyay,manager233,Supply Chain,Executive,Head Office,VDR-11224,DEV-81260,2020-09-01 00:00:00,2020-11-19 07:27:00,TERMINATED,True,8,4,1,36.625,100.0,6,7,0,0,5,0,4,50.0,7,2,5,2,337330326.0,100.0,100.0,100.0,81.43,96.3,CRITICAL,True,True,True,False,0.477,High IAM / Failed Login Surge
EMP 12653,andrew.sabharwal19,Andrew Sabharwal,RnD,Manager,Head_Office,LPT-12653,dev70920,Deactivated,2025-07-16T08:37:54,,manager223,EMP12653,andrew.sabharwal19,Andrew Sabharwal,manager223,R&D,Manager,Head Office,LPT-12653,DEV-70920,2025-07-16 08:37:54,,TERMINATED,True,6,5,0,60.333333333333336,100.0,5,2,0,0,2,1,2,50.0,8,2,7,2,203599187.0,100.0,100.0,100.0,80.0,96.0,CRITICAL,True,True,True,True,0.505,Zero-Trust Deprovisioning Breaches
emp_12601,dominic.bawa78,Dominic Bawa,OPERATIONS,Executive,,WS-12601,DEV85344,DISABLED,23/02/2020,not available,manager383,EMP12601,dominic.bawa78,Dominic Bawa,manager383,Operations,Executive,Head Office,WS-12601,DEV-85344,2020-02-23 00:00:00,,TERMINATED,True,8,2,2,47.5,96.0,6,3,0,1,2,1,3,75.0,8,2,4,2,185694634.0,100.0,98.0,100.0,80.0,95.5,CRITICAL,True,False,True,True,0.523,Zero-Trust Deprovisioning Breaches
EMP12123,chavvi.naidu26,Chavvi Naidu,RD,Specialist,Data Center,VDR_12123,dev25765,Deactivated,2023-04-02 12:28:55,2026/06/10,manager520,EMP12123,chavvi.naidu26,Chavvi Naidu,manager520,Rd,Specialist,Data Center,VDR-12123,DEV-25765,2023-04-02 12:28:55,2026-06-10 00:00:00,TERMINATED,True,9,3,2,57.44444444444444,100.0,6,4,0,0,4,1,3,50.0,12,4,10,1,396742439.0,100.0,100.0,100.0,68.33,93.7,CRITICAL,True,False,True,True,0.535,Zero-Trust Deprovisioning Breaches
EMP12651,aishani.pillai56,Aishani Pillai,hr dept,Specialist,regional office,LPT-12651,DEV-41619,Deactivated,2024/06/25,1743577595,MANAGER980,EMP12651,aishani.pillai56,Aishani Pillai,manager980,Human Resources,Specialist,Regional Office,LPT-12651,DEV-41619,2024-06-25 00:00:00,2025-04-02 07:06:35,TERMINATED,True,7,3,0,55.285714285714285,100.0,3,5,1,2,3,0,3,100.0,17,4,12,3,658120383.0,100.0,90.5,100.0,79.41,93.5,CRITICAL,True,False,True,False,0.484,High IAM / Failed Login Surge
EMP11241,bhavani.shetty89,Bhavani Shetty,IT Support,Consultant,Branch Office,WS-11241,,D,2021/12/23,2025/04/04,manager317,EMP11241,bhavani.shetty89,Bhavani Shetty,manager317,Support,Consultant,Branch Office,WS-11241,,2021-12-23 00:00:00,2025-04-04 00:00:00,TERMINATED,True,62,14,3,51.145161290322584,100.0,32,4,1,1,4,0,3,100.0,6,4,5,0,200607934.0,100.0,100.0,100.0,66.67,93.3,CRITICAL,True,True,True,True,0.588,Active EDR / Malware Threats
EMP-11374,vyanjana.ahuja87,Vyanjana Ahuja,HR,Consultant,HEAD OFFICE,WS-11374.corp.local,dev 23164,L,06-07-2024 02:42:25 PM,01-Aug-2024 23:19:12,unknown,EMP11374,vyanjana.ahuja87,Vyanjana Ahuja,unknown,Human Resources,Consultant,Head Office,WS-11374,DEV-23164,2024-07-06 14:42:25,2024-08-01 23:19:12,TERMINATED,True,8,4,1,55.375,100.0,4,8,1,1,7,0,4,100.0,11,3,5,1,329007335.0,100.0,100.0,100.0,65.91,93.2,CRITICAL,True,True,True,False,0.495,High IAM / Failed Login Surge
EMP11313,gautami.sodhi74,Gautami Sodhi,R&D,Officer,remote,WS-11313,DEV-91065,Terminated,03-04-2021 08:35:44 AM,1732657377,manager485,EMP11313,gautami.sodhi74,Gautami Sodhi,manager485,R&D,Officer,Remote / WFH,WS-11313,DEV-91065,2021-04-03 08:35:44,2024-11-26 21:42:57,TERMINATED,True,8,2,1,38.625,99.0,3,3,1,0,3,0,2,100.0,13,1,11,3,426392704.0,100.0,94.0,100.0,73.08,93.1,CRITICAL,True,False,True,False,0.477,High IAM / Failed Login Surge
EMP 11744,avi.basak59,Avi Basak,Finance,Engineer,regional office,LPT-11744,dev76127,DISABLED,2024/03/18,08/07/2024 17:03,,EMP11744,avi.basak59,Avi Basak,none,Finance,Engineer,Regional Office,LPT-11744,DEV-76127,2024-03-18 00:00:00,2024-07-08 17:03:00,TERMINATED,True,8,2,0,45.0,98.0,4,3,1,0,3,0,3,100.0,13,2,9,2,346415901.0,100.0,91.0,100.0,76.15,93.0,CRITICAL,True,False,True,False,0.436,High IAM / Failed Login Surge
EMP10296,osha.kapur39,Osha Kapur,information tech,Director,Remote,VDR-10296,dev 59792,Blocked,,08-19-2024 06:56:50 PM,,EMP10296,osha.kapur39,Osha Kapur,none,Engineering,Director,Remote / WFH,VDR-10296,DEV-59792,,2024-08-19 18:56:50,TERMINATED,True,78,31,7,50.85897435897436,100.0,36,4,1,1,2,0,1,100.0,14,3,8,1,498623814.0,100.0,100.0,100.0,63.57,92.7,CRITICAL,True,True,True,True,0.618,Active EDR / Malware Threats
