user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username
EMP12741,OMKAAR.CHANA52,Omkaar Chana,Supply Chain,Administrator,Branch Office,LPT-12741,,Working,1736578363,not available,manager780
EMP11307,ethan.narasimhan97,Ethan Narasimhan,LEGAL,Manager,Head Office,VDR-11307.corp.local,dev42831,Live,18/05/2026 23:12,,manager881
EMP11601,ethan.choudhry47,Ethan Choudhry,Marketing,Director,,WS-11601,dev40763,Live,14/01/2023 09:22,,manager809
12621,vedant_panchal60,Vedant Panchal,Support,Analyst,Head_Office,LPT_12621,DEV-95371,Enabled,1656531399,NA,manager886
EMP12029,  gayathri.mohanty65  ,Gayathri Mohanty,RnD,Executive,work from home,LPT-12029,dev 51958,A,2021/09/01,,manager867
EMP11950,GARIMA.CHAUDHARY44,Garima Chaudhary,Call Center,Executive,,LPT-11950,dev13049,Live,2023-12-30T17:13:00,NA,  manager521  
EMP 12718,  vrishti.dewan18  ,Vrishti Dewan,Compliance,Officer,warehouse,lpt-12718,DEV-46814,Working,2021-06-21 08:34:45,,manager544
EMP10184,,Varsha Mall,IT,Director,Remote,WS-10184,dev 12128,A,28/07/2020 21:36,NA,MANAGER850
EMP12400,peter.sama77,Peter Sama,information tech,Specialist,work from home,VDR-12400,,Enabled,06-13-2026 07:10:36 PM,NA,manager829
EMP 10194,ayush.dua87,Ayush Dua,RnD,Analyst,BRANCH OFFICE,LPT-10194,DEV-40932,ACTIVE,2023-02-12 03:25:50,not available,manager680
emp12798,abhimanyu.trivedi4,Abhimanyu Trivedi,sales team,Specialist,Data_Center,WS-12798,DEV31013,A,2026-04-13 04:15:33,NA,manager344
11195,christopher.toor37,Christopher Toor,legal,Director,work from home,VDR-11195,DEV99205,Enabled,02-13-2023 09:32:23 AM,,manager739
emp11406,urishilla.bhatt88,Urishilla Bhatt,SALES,Specialist,REGIONAL OFFICE,WS-11406,DEV78076,Live,2024-01-06 19:04:32,not available,manager438
EMP10314,GIRINDRA.DHALIWAL46,Girindra Dhaliwal,R&D,Specialist,branch office,VDR-10314,DEV-48986,Left,2025-01-07 14:08:35,2025-04-21 15:06:37,manager344
